ISO3,NAME,cat_id,max,mean,count,Forecast Timestamp,Timestep
NIC,Nicaragua,66666,24.0,4.3,1707970,2019060712,2019061212
PAN,Panama,77777,18.5,1.2,979338,2019060712,2019061212
BLZ,Belize,11111,11.6,2.8,300988,2019060712,2019061218
CRI,Costa Rica,22222,14.8,2.3,673730,2019060712,2019061218
SLV,El Salvador,33333,6.4,0.8,275275,2019060712,2019061218
GTM,Guatemala,44444,11.6,1.0,1470196,2019060712,2019061218
HND,Honduras,55555,16.1,2.8,1510249,2019060712,2019061218
NIC,Nicaragua,66666,17.4,4.6,1707970,2019060712,2019061218
PAN,Panama,77777,10.6,2.0,979338,2019060712,2019061218
BLZ,Belize,11111,10.4,2.0,300988,2019060712,2019061300
CRI,Costa Rica,22222,40.3,8.9,673730,2019060712,2019061300
SLV,El Salvador,33333,19.6,3.7,275275,2019060712,2019061300
GTM,Guatemala,44444,17.7,3.7,1470196,2019060712,2019061300
HND,Honduras,55555,22.9,10.2,1510249,2019060712,2019061300
NIC,Nicaragua,66666,27.2,9.4,1707970,2019060712,2019061300
PAN,Panama,77777,35.1,7.3,979338,2019060712,2019061300
BLZ,Belize,11111,14.3,0.7,300988,2019060712,2019061306
CRI,Costa Rica,22222,67.1,10.4,673730,2019060712,2019061306
SLV,El Salvador,33333,46.8,10.7,275275,2019060712,2019061306
GTM,Guatemala,44444,33.6,4.9,1470196,2019060712,2019061306
HND,Honduras,55555,46.8,10.3,1510249,2019060712,2019061306
NIC,Nicaragua,66666,28.6,6.5,1707970,2019060712,2019061306
PAN,Panama,77777,53.2,2.7,979338,2019060712,2019061306
BLZ,Belize,11111,16.9,1.1,300988,2019060712,2019061312
CRI,Costa Rica,22222,22.6,1.9,673730,2019060712,2019061312
SLV,El Salvador,33333,56.8,10.1,275275,2019060712,2019061312
GTM,Guatemala,44444,20.8,1.2,1470196,2019060712,2019061312
HND,Honduras,55555,49.4,8.8,1510249,2019060712,2019061312
NIC,Nicaragua,66666,50.6,5.6,1707970,2019060712,2019061312
PAN,Panama,77777,13.6,0.9,979338,2019060712,2019061312
BLZ,Belize,11111,20.4,5.5,300988,2019060712,2019061318
CRI,Costa Rica,22222,23.0,2.5,673730,2019060712,2019061318
SLV,El Salvador,33333,14.6,3.8,275275,2019060712,2019061318
GTM,Guatemala,44444,16.5,2.5,1470196,2019060712,2019061318
HND,Honduras,55555,36.9,6.8,1510249,2019060712,2019061318
NIC,Nicaragua,66666,39.1,6.6,1707970,2019060712,2019061318
PAN,Panama,77777,17.6,2.2,979338,2019060712,2019061318
BLZ,Belize,11111,19.4,6.1,300988,2019060712,2019061400
CRI,Costa Rica,22222,65.4,8.6,673730,2019060712,2019061400
SLV,El Salvador,33333,14.4,5.8,275275,2019060712,2019061400
GTM,Guatemala,44444,23.8,9.0,1470196,2019060712,2019061400
HND,Honduras,55555,46.2,9.3,1510249,2019060712,2019061400
NIC,Nicaragua,66666,22.7,7.2,1707970,2019060712,2019061400
PAN,Panama,77777,65.4,8.0,979338,2019060712,2019061400
BLZ,Belize,11111,24.0,5.4,300988,2019060712,2019061406
CRI,Costa Rica,22222,33.8,5.0,673730,2019060712,2019061406
SLV,El Salvador,33333,29.7,4.7,275275,2019060712,2019061406
GTM,Guatemala,44444,102.6,10.5,1470196,2019060712,2019061406
HND,Honduras,55555,87.4,9.7,1510249,2019060712,2019061406
NIC,Nicaragua,66666,41.3,4.6,1707970,2019060712,2019061406
PAN,Panama,77777,22.8,2.7,979338,2019060712,2019061406
BLZ,Belize,11111,40.6,11.5,300988,2019060712,2019061412
CRI,Costa Rica,22222,17.0,1.6,673730,2019060712,2019061412
SLV,El Salvador,33333,20.8,4.2,275275,2019060712,2019061412
GTM,Guatemala,44444,50.8,7.4,1470196,2019060712,2019061412
HND,Honduras,55555,72.2,7.9,1510249,2019060712,2019061412
NIC,Nicaragua,66666,51.3,4.2,1707970,2019060712,2019061412
PAN,Panama,77777,18.8,1.1,979338,2019060712,2019061412
