BASIN,01FFG2018021312
2004700575,78.06
2004700576,65.18
2004700577,70.58
2004700578,70
2004700579,67.85
2004700580,65.28
2004700581,90.49
2004700582,90.34
2004700583,94.9
2004700584,106.28
2004700585,75.89
2004700586,64.95
2004700587,103.27
2004700588,64.93
2004700589,-999
2004700590,90.64
2004700591,-999
2004700592,103.16
2004700593,62.03
2004700594,62.17
2004700595,-999
2004700596,-999
2004700597,-999
2004700598,-999
2004700599,-999
2004700600,53.29
2004700601,-999
2004700602,76.31
2004700603,-999
2004700604,76.13
2004700605,-999
2004700606,75.72
2004700607,-999
2004700608,-999
2004700609,61.91
2004700610,-999
2004700611,-999
2004700612,-999
2004700613,92.59
2004700614,76.65
2004700615,92.62
2004700616,92.02
2004700617,53.24
2004700618,76.98
2004700619,92.06
2004700620,61.74
2004700621,41.7
2004700622,90.52
2004700623,41.86
2004700624,42.32
2004700625,60.69
2004700626,89.25
2004700627,102.95
2004700628,86.69
2004700629,100.77
2004700630,100.49
2004700631,97.95
2004700632,96.59
2004700633,57.98
2004700634,67.61
2004700635,69.46
2004700636,49.29
2004700637,51.22
2004700638,40.81
2004700639,66.62
2004700640,66.57
2004700641,72.08
2004700642,65.8
2004700643,58.99
2004700644,66.12
2004700645,66.17
2004700646,78.46
2004700647,92.65
2004700648,89.99
2004700649,59.37
2004700650,59.92
2004700651,58.09
2004700652,89.29
2004700653,59.14
2004700654,58.17
2004700655,59.72
2004700656,60.55
2004700657,56.53
2004700658,107.91
2004700659,48.56
2004700660,76.49
2004700661,79.15
2004700662,97.94
2004700663,90.29
2004700664,74.67
2004700665,74.86
2004700666,75.05
2004700667,75.29
2004700668,63.81
2004700669,58.22
2004700670,59.85
2004700671,72.75
2004700672,58.43
2004700673,114.43
2004700674,113.6
2004700675,112.8
2004700676,59.67
2004700677,80.12
2004700678,79.46
2004700679,78.79
2004700680,79.05
2004700681,88.88
2004700682,62.51
2004700683,77.96
2004700684,105.53
2004700685,56.22
2004700686,59.33
2004700687,49.57
2004700688,62.75
2004700689,98.21
2004700690,99.88
2004700691,94.32
2004700692,67.74
2004700693,54.43
2004700694,65.46
2004700695,47.81
2004700696,55.91
2004700697,50.51
2004700698,57.76
2004700699,57.31
2004700700,40.44
2004700701,41.32
2004700702,92.29
2004700703,76.26
2004700704,77.51
2004700705,53.57
2004700706,53.35
2004700707,75.7
2004700708,51.5
2004700709,27.73
2004700710,27.27
2004700711,27.27
2004700712,28.28
2004700713,52.59
2004700714,52.91
2004700715,53.27
2004700716,53.29
2004700717,28.28
2004700718,28.28
2004700719,28.28
2004700720,28.28
2004700721,28.28
2004700722,94.84
2004700723,61.43
2004700724,28.28
2004700725,28.28
2004700726,28.28
2004700727,28.28
2004700728,28.28
2004700729,28.28
2004700730,27.27
2004700731,31
2004700732,28.28
2004700733,31
2004700734,27.27
2004700735,62.48
2004700736,44.31
2004700737,44.27
2004700738,62.33
2004700739,62.46
2004700740,29.31
2004700741,44.32
2004700742,70.52
2004700743,68.65
2004700744,69.83
2004700745,69.08
2004700746,69.4
2004700747,53.16
2004700748,53.15
2004700749,53.25
2004700750,47.63
2004700751,44.27
2004700752,44.26
2004700753,53.29
2004700754,69.12
2004700755,53.29
2004700756,53.27
2004700757,53.26
2004700758,69.13
2004700759,53.23
2004700760,53.23
2004700761,45.81
2004700762,70.09
2004700763,75.68
2004700764,44.16
2004700765,47.17
2004700766,46.54
2004700767,54.96
2004700768,52.97
2004700769,53
2004700770,53.27
2004700771,53.23
2004700772,44.1
2004700773,62.45
2004700774,69.06
2004700775,53.24
2004700776,69.1
2004700777,69.12
2004700778,65.12
2004700779,64.46
2004700780,74.35
2004700781,67.67
2004700782,68.3
2004700783,69.14
2004700784,106.35
2004700785,72.46
2004700786,71.24
2004700787,95.58
2004700788,69.09
2004700789,69.07
2004700790,69.07
2004700791,74.16
2004700792,68.42
2004700793,126.56
2004700794,102.16
2004700795,126.22
2004700796,70.77
2004700797,125.63
2004700798,96.56
2004700799,91.75
2004700800,68.34
2004700801,84.66
2004700802,81.81
2004700803,67.15
2004700804,78.99
2004700805,70.47
2004700806,63.66
2004700807,63.95
2004700808,95.82
2004700809,103.88
2004700810,95.29
2004700811,74.38
2004700812,82.46
2004700813,68.32
